_id,creation_date,id,post_id,score,user_id
614ca7946378ff93c07f8125,2020-07-24T16:10:46.540Z,111543280,63077017,0,91
614ca7946378ff93c07f8126,2020-07-24T16:17:50.777Z,111543475,63077017,0,91
614ca7946378ff93c07f8127,2020-07-24T16:39:01.790Z,111544078,63077017,0,91
614ca7946378ff93c07f8128,2020-07-24T17:15:09.083Z,111544963,63077017,0,91
614ca7946378ff93c07f8129,2020-07-24T19:58:41.000Z,111548995,63079098,0,91
614ca7946378ff93c07f812a,2018-04-16T19:22:26.130Z,86744902,49864738,0,91
614ca7946378ff93c07f812b,2013-10-09T02:25:42.283Z,28516542,2483,0,91
614ca7946378ff93c07f812c,2018-12-20T23:07:38.110Z,94601797,53860651,0,91
614ca7946378ff93c07f812d,2018-12-20T23:08:50.767Z,94601827,53861192,0,91
614ca7946378ff93c07f812e,2018-12-28T14:59:54.973Z,94758329,53960223,0,91
614ca7946378ff93c07f812f,2018-12-28T16:41:03.627Z,94760828,53960223,0,91
614ca7946378ff93c07f8130,2018-12-28T20:23:12.513Z,94765537,53960223,0,91
614ca7946378ff93c07f8131,2018-08-30T16:37:46.220Z,91154458,52099386,1,91
614ca7946378ff93c07f8132,2017-01-05T02:02:48.733Z,70158422,41476212,10,91
614ca7946378ff93c07f8133,2016-12-28T15:44:34.647Z,69931980,41364809,0,91
614ca7946378ff93c07f8134,2016-12-28T15:59:14.847Z,69932471,41364809,0,91
614ca7946378ff93c07f8135,2017-01-05T02:08:38.040Z,70158502,41476212,0,91
614ca7946378ff93c07f8136,2017-01-18T23:32:57.463Z,70656945,41731247,0,91
614ca7946378ff93c07f8137,2017-01-19T00:26:07.957Z,70657902,41731247,0,91
614ca7946378ff93c07f8138,2017-01-18T23:27:51.883Z,70656848,41731247,2,91
614ca7946378ff93c07f8139,2017-01-18T23:31:50.123Z,70656922,41731247,2,91
614ca7946378ff93c07f813a,2017-07-20T21:34:18.157Z,77417436,756010,0,91
614ca7946378ff93c07f813b,2017-07-02T21:58:50.073Z,76729543,4576759,1,91
614ca7946378ff93c07f813c,2017-07-22T18:41:59.727Z,77479439,756010,2,91
614ca7946378ff93c07f813d,2017-08-15T20:19:05.380Z,78360075,45699377,2,91
614ca7946378ff93c07f813e,2015-12-08T00:26:47.137Z,56039695,34145804,0,91
614ca7946378ff93c07f813f,2010-03-15T16:38:43.203Z,23856047,2448701,0,91
614ca7946378ff93c07f8140,2008-08-03T16:06:09.190Z,24675309,730,0,91
